26,OFF,145.725,145.125,0.6,-RPT,OFF,FM,OFF,ANALOG,RR3GC??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,LOW,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
28,OFF,121.7,121.7,0,OFF,OFF,AM,OFF,ANALOG,ATIS_V??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,"„p„r„y„p„ˆ„y„‘, „M„u„„„u„€„@„r„„„€„y„~„†„€„‚„}„p„„„€„‚",0,
29,OFF,124.8,124.8,0,OFF,OFF,AM,OFF,ANALOG,BYKOVO??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
30,OFF,125.125,125.125,0,OFF,OFF,AM,OFF,ANALOG,SHEREM??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
31,OFF,125.875,125.875,0,OFF,OFF,AM,OFF,ANALOG,METEO??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,„@„r„y„p„ˆ„y„‘ .„M„u„„„u„€„ƒ„r„€„t„{„p „„€ „M„€„ƒ„{„r„u ,0,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
33,OFF,433.075,433.075,0.6,OFF,ON,FM,ON,ANALOG,LPD 01??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,MID,OFF,OFF,6.25KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
34,OFF,433.1,433.1,0.6,OFF,ON,FM,ON,ANALOG,LPD 02??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,MID,OFF,OFF,6.25KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
35,OFF,433.125,433.125,0.6,OFF,ON,FM,ON,ANALOG,LPD 03??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,MID,OFF,OFF,6.25KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
